id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
66	"ahmadi, arash"	0.368	-0.6984	4	3	19	23	645	44.6175	2019.087	28.0435	1.9399
68	"ahmadi, majid"	0.411	-0.9212	4	1	6	8	100	6.2923	2018.75	12.5	0.7865
229	"arora, aman"	0.2984	0.474	1	3	13	10	107	12.9939	2022.8	10.7	1.2994
416	"betz, vaughn"	0.0708	0.3003	1	3	10	9	397	31.8814	2021	44.1111	3.5424
500	"bouganis, christos-savvas"	0.9526	0.3875	1	1	3	10	219	10.8402	2017.2	21.9	1.084
508	"boutros, andrew"	0.291	0.2331	1	7	14	6	124	10.3544	2021.5	20.6667	1.7257
722	"chen, deming"	-0.5646	0.1133	2	2	4	7	148	15.4728	2022.7143	21.1429	2.2104
741	"chen, jianli"	0.6235	-0.736	5	2	11	8	20	1.5475	2022	2.5	0.1934
845	"chi, yuze"	-0.7536	0.2142	2	3	9	6	115	7.0968	2021.3333	19.1667	1.1828
931	"cong, jason"	-0.7774	-0.0201	2	5	15	14	553	34.1768	2021.2857	39.5	2.4412
940	"corporaal, henk"	-0.3077	-0.7264	7	2	10	7	142	10.9134	2022.1429	20.2857	1.5591
1077	"deng, bin"	-0.3256	0.5211	3	6	50	14	715	43.1711	2019.6429	51.0714	3.0837
1133	"dinavahi, venkata"	-1.0051	-0.1517	8	1	6	14	291	16.7117	2019.8571	20.7857	1.1937
1360	"fang, zhenman"	-0.5423	-0.1167	2	3	6	9	156	10.6348	2022	17.3333	1.1816
1579	"geng, tong"	-0.4833	-0.5638	2	3	10	6	364	21.77	2020	60.6667	3.6283
1583	"george, alan d."	-0.3189	0.0314	11	0	0	6	27	3.7525	2020.8333	4.5	0.6254
1594	"ghanbarpour, milad"	0.1754	-0.5176	4	2	6	8	114	33.7982	2024.25	14.25	4.2248
1618	"giorgi, roberto"	0.1621	0.016	1	1	2	6	34	2.4803	2019.1667	5.6667	0.4134
1644	"gomez-luna, juan"	-0.3296	-0.9575	7	2	11	6	144	10.8893	2021.8333	24	1.8149
1652	"gong, lei"	0.1258	-0.7722	2	3	34	15	170	14.5947	2021.6	11.3333	0.973
1811	"haghiri, saeed"	0.4056	-0.4898	4	2	13	12	286	24.321	2020.8333	23.8333	2.0268
1869	"hao, xinyu"	-0.2047	0.6919	3	5	17	6	173	15.5943	2021.6667	28.8333	2.5991
1958	"herbordt, martin"	-0.416	-0.3061	2	3	8	6	52	3.003	2021.1667	8.6667	0.5005
